dep_relation;dep_insee;ville_relation;ville_node;ville_insee;lat;lon;name;name_norm;population;source_population
7387;01;145115;36787080;01282;46.0667000;5.5458600;Outriaz;OUTRIAZ;256;INSEE 2013
7387;01;21541;26692566;01283;46.2575174;5.6556181;Oyonnax;OYONNAX;22650;INSEE 2013
7387;01;139153;36787079;01284;46.3916424;4.9150895;Ozan;OZAN;618;INSEE 2013
7387;01;147323;36787078;01285;45.9152000;4.8241900;Parcieux;PARCIEUX;1095;INSEE 2013
7387;01;5822168;36787077;01286;45.7439043;5.7407972;Parves;PARVES;360;INSEE 2013
7387;01;140256;36650997;01288;46.1896869;5.9244804;Péron;PERON;2143;INSEE 2013
7387;01;140757;1458620271;01289;46.1798475;5.2035890;Péronnas;PERONNAS;6054;INSEE 2013
7387;01;149442;36787075;01290;45.9040290;5.1794661;Pérouges;PEROUGES;1204;INSEE 2013
7387;01;140025;36787074;01291;46.2445000;4.9797800;Perrex;PERREX;826;INSEE 2013
7387;01;149463;36787001;01292;46.0320602;5.6642216;Le Petit-Abergement;LE PETIT ABERGEMENT;138;INSEE 2013
7387;01;140759;36787073;01293;46.1542350;5.5102506;Peyriat;PEYRIAT;171;INSEE 2013
7387;01;145868;36787072;01294;45.6754284;5.6778850;Peyrieu;PEYRIEU;821;INSEE 2013
7387;01;142156;36787071;01295;46.1269000;4.8166200;Peyzieux-sur-Saône;PEYZIEUX SUR SAONE;473;INSEE 2013
